assignee
Anhui Masteel Surface Technology Co., Ltd.
Beijing NavInfo Technology Co., Ltd.
Beijing Zhongke Geliwei Technology Co., Ltd.
Universal Exhibitions
King's Root Festival
Jiangsu Sanfeng Hongye Industry Co., Ltd.
Jiangsu Kingfa Science and Technology New Materials Co., Ltd.
Beijing Cool Cloud Interactive Technology Co., Ltd.
Henan Xinda Animal Husbandry Co., Ltd.
Wuhan Textile University
Huawei Technologies Co., Ltd
Jiangxi Gaoya Technology New Material Co., Ltd.
Beijing University
Feitian Integrity Technology Co., Ltd.
Shanghai Nuclear Engineering Research and Design Institute
Wang Xiaofen
Shenzhen TCL New Technology Co., Ltd.
Wenzhou Ruizhi Doors and Windows Co., Ltd.
Chongqing Wesworth Technology Co., Ltd.
Nantong Nuxe Home Textiles Co., Ltd.
Guangzhou Feiyu Intelligent Technology Co., Ltd.
Jiangsu Guangxin Photosensitive New Materials Co., Ltd.
taiwan integrated circuit manufacturing co., ltd.
Shanghai Jiaotong University
paul hettich gmbh & co. kg
Chongqing BOE Optoelectronics Technology Co., Ltd.
Xidian University
Shanghai Jiaotong University
Suzhou University
The Seventh Company of Sisso Stray
Immune Onco Biomedical Technology (Shanghai) Co., Ltd.
Shanghai Bitong Semiconductor Energy Technology Co., Ltd.
Zhongning County Zhicai Technology Service Co., Ltd.
Huawei Technologies Co., Ltd
Changzhou Guicheng Environmental Protection Building Materials Co., Ltd.
Tencent Technology (Shenzhen) Co., Ltd.
Shanghai Chengying New Materials Co., Ltd.
YKK Corporation
Harbin University of Science and Technology
SMIC Integrated Circuit Manufacturing (Shanghai) Co., Ltd.
China Nuclear Power Research and Design Institute
Shandong Mine Safety Electromechanical Co., Ltd.
Toshiba Memory Corporation
Huawei Technologies Co., Ltd
Jiangnan University
LG Electronics Co., Ltd.
Infineon Technologies AG
Chongqing Nianji Food Co., Ltd.
Huawei Technologies Co., Ltd
CGN Juner (Shanghai) New Materials Co., Ltd.
He Hai University
Qiu Yanmei
China Petroleum & Chemical Corporation
Tianjin High West High Pressure Pump Manufacturing Co., Ltd.
Huawei Technologies Co., Ltd
Wang Dongyan
Chinese People's Liberation Army General Hospital
Shenzhen Liuduren Technology Co., Ltd.
South China University of Technology
Huawei Technologies Co., Ltd
China Petroleum & Chemical Corporation Shanghai Petrochemical Research Institute
Beijing Institute of Precision Electromechanical Control Equipment
Yunnan Jingchuang Liquid Metal Thermal Control Technology R&D Co., Ltd.
Tianjia Intelligent Equipment Manufacturing Jiangsu Co., Ltd.
Anhui University
Institute of Medicinal Plants, Chinese Academy of Medical Sciences
Datong Coal Mine Group Co., Ltd.
Shanghai Tianma Microelectronics Co., Ltd.
new york airlock co., ltd.
Zhejiang Dingxing Enterprise Management Co., Ltd.
Fiberhome Communication Technology Co., Ltd.
West China Hospital of Sichuan University
Borch Intelligent Equipment Co., Ltd.
Jiangsu Nuclear Power Co., Ltd.
True Dimension Technology Holdings (Zhuhai) Co., Ltd.
Hefei University of Technology
State Grid Corporation of China
Beijing Foton Daimler Automobile Co., Ltd.
Nanjing University of Technology
Zhejiang Jinlong Ancient Architecture and Garden Engineering Co., Ltd.
Xiamen Tianma Microelectronics Co., Ltd.
Beijing Huineng Precision Technology Co., Ltd.
Nanchang Yimei Optoelectronics Technology Co., Ltd.
Sino-German Rail Transit Technology (Dresden) Joint R&D Center
Southwest Jiaotong University
Beijing University of Posts and Telecommunications
Liaoning Dongke Electric Power Co., Ltd.
Xi'an Gaoshang Intelligent Technology Co., Ltd.
Zhangzhou Jionghui Machinery Co., Ltd.
Beijing Future Navigation Technology Co., Ltd.
Anhui National Copper, Lead, Zinc and Products Quality Supervision and Inspection Center
Guangzhou Huaduo Network Technology Co., Ltd.
Shenzhen Huaxing Optoelectronics Semiconductor Display Technology Co., Ltd.
Thielch (Nanjing) Drug Development Co., Ltd.
Yangzhou Fengming Photoelectric New Material Co., Ltd.
Capital medical university
Shenzhen Open Source Internet Security Technology Co., Ltd.
Beihang University
CR Bard
Tianjin Qixin Paper Products Co., Ltd.
Shenzhen Klarney Acoustic Technology Co., Ltd.
PLA Army Engineering University
Institute of Tropical Biotechnology, Chinese Academy of Tropical Agricultural Sciences
sing music
Shanghai Tianhao Information Technology Co., Ltd.
Baoshan Iron and Steel Co., Ltd.
Tian Huanan
Qingdao Hisense Mobile Communication Technology Co., Ltd.
China University of Mining and Technology (Beijing)
7D Surgical Ltd
Yantai Hongtai Education Technology Co., Ltd.
Kunming University of Science and Technology
Institute of Telecommunications Science and Technology
Guangxi Electric Power Line Equipment Factory Co., Ltd.
Norilsk Nikkor Mining and Metallurgical Public Joint Stock Company
General Electric Company
Huawei Technologies Co., Ltd
Hangzhou Pengtu Chemical Fiber Co., Ltd.
He Xiangdong
Jianfan Biotechnology Group Co., Ltd.
Beijing First Class Technology Co., Ltd.
Zhejiang University of Technology Zhijiang College
LG Display Co., Ltd.
Hangzhou Yitian Technology Co., Ltd.
Shanghai Shiya Technology Co., Ltd.
Taizhou New Binjiang Environmental Protection Technology Co., Ltd.
China Agricultural University
Xuancheng Jindun Fire Protection Equipment Co., Ltd.
Institute of Computing Technology, Chinese Academy of Sciences
Gugao Servo Drive Technology (Shenzhen) Co., Ltd.
Yongkang Funansheng Industry and Trade Co., Ltd.
Guangzhou Anbiping Pharmaceutical Technology Co., Ltd.
Taigu Ecological Technology Group Co., Ltd.
Southeast University
Nanning Vocational and Technical College
Central South University
Honda Giken Industry Co., Ltd.
Shijiazhuang Jingaoliang New Material Co., Ltd.
Beijing industry university
OPPO Guangdong Mobile Communication Co., Ltd.
Dongyang Chuanze Outdoor Products Co., Ltd.
Qingdao University
Xuji Electric Co., Ltd.
Zhejiang Industry and Trade Vocational and Technical College
Sanxia University
Jiaxing Guantong Electromechanical Technology Co., Ltd.
Yuhuan Maiyuan Knitting Co., Ltd.
Chongqing Huike Jinyu Optoelectronics Technology Co., Ltd.
Zhang Heng
Dongguan Weili Electromechanical Co., Ltd.
Huawei Technologies Co., Ltd
Yungu (Gu'an) Technology Co., Ltd.
Guangzhou Electric Locomotive Co., Ltd.
Suzhou Maped Office Supplies Manufacturing Co., Ltd.
Zhejiang Tianxu Electromechanical Equipment Co., Ltd.
Yellow River Delta Jingbo Chemical Research Institute Co., Ltd.
Zhuhai Huafa New Technology Investment Holding Co., Ltd.
Yangzhou University
Huazhong University of Science and Technology
Tianjin Hongtu Yangming Technology Development Co., Ltd.
Dengzhou Hengxiang Electronic Technology Co., Ltd.
Jiaxing Riya Optoelectronics Co., Ltd.
Teng Ying
Shandong Yangcheng Biotechnology Co., Ltd.
Jiangnan University
Jining Zhongke Yuntian Environmental Protection Technology Co., Ltd.
Cangzhou China Railway Equipment Manufacturing Materials Co., Ltd.
Intel IP Corporation
Shenzhen Suoxinda Data Technology Co., Ltd.
Wuhu Gankai Material Technology Co., Ltd.
BOE Technology Group Co., Ltd.
Seed Assets Group Co., Ltd.
V Technology Co. , Ltd.
Institute of Modern Physics, Chinese Academy of Sciences
Nokia Technologies Ltd.
Xiangneng Hualei Optoelectronics Co., Ltd.
Jiekai Communication (Shenzhen) Co., Ltd.
TCL Technology Group Co., Ltd.
Shanghai Institute of Satellite Engineering
Suzhou Ailemont Electromechanical Technology Co., Ltd.
Perizugen
Gu'an Zhongcai Printing Industry Co., Ltd.
Huaxia Semiconductor (Shenzhen) Co., Ltd.
Yuzhou Huade Environmental Protection Technology Co., Ltd.
Feitian Integrity Technology Co., Ltd.
Shanghai Jiaotong University
WITS Co. , Ltd.
Shanghai Meiliweiye Medical Technology Co., Ltd.
Northeastern University
ExxonMobil Chemical Patent Company
Vestas Wind Systems Ltd.
Chitron Display Technology Co., Ltd.
Mitsubishi Electric Corporation
Huawei Technologies Co., Ltd
Hebei University of Engineering
Institute of Telecommunications Science and Technology
Shanghai Jiale Co., Ltd.
Suzhou Inspur Intelligent Technology Co., Ltd.
LG Chem Co. , Ltd.
Beijing Jiuyang Construction Engineering Co., Ltd.
Taizhou Hengchen Plastic Industry Co., Ltd.
Zhongke Baochen (Beijing) Technology Co., Ltd.
Suzhou Keda Technology Co., Ltd.
Sichuan University
Vivo Mobile Communication Co., Ltd.
Alipay (Hangzhou) Information Technology Co., Ltd.
China Agricultural University
China Huaneng Group Clean Energy Technology Research Institute Co., Ltd.
Zhang Li
Anhui Jianghuai Automobile Group Co., Ltd.
Suzhou Institute of Nanotechnology and Nanobionics, Chinese Academy of Sciences
Zhejiang University of Commerce and Industry
Midea Group E-Commerce Co., Ltd.
Guangzhou Automobile Group Co., Ltd.
Shanghai Jinzhuo Technology Co., Ltd.
Ningguo Guandong Industrial Technology Co., Ltd.
Shanghai Minjian Aluminum Co., Ltd.
China Mobile Communications Corporation
Hyundai Motor Co., Ltd.
Alcatel-Lucent
Fujian Kemi Network Technology Co., Ltd.
Sony Corporation
Hunan Lianzhi Technology Co., Ltd.
New H3C Technology Co., Ltd.
Shanghai University
China Shipbuilding Industry Corporation 79th Research Institute
Chinese People's Liberation Army General Hospital
Yankuang Group Co., Ltd.
Vivo Mobile Communication Co., Ltd.
Luneng New Energy (Group) Co., Ltd. Xinjiang Branch
University of Electronic Science and Technology of China
Yunnan Poshi Education Technology Co., Ltd.
Samsung Electronics Co., Ltd.
Huawei Technologies Co., Ltd
Guangzhou Institute of Biomedicine and Health, Chinese Academy of Sciences
LG Electronics Co., Ltd.
Vivo Mobile Communication Co., Ltd.
Shandong Guangmingyuandi Children's Furniture Technology Co., Ltd.
Nanjing University of Science and Technology
Chongqing University of Posts and Telecommunications
Novatek Technology Co., Ltd.
Huawei Technologies Co., Ltd
Spreadtrum Communications (Shanghai) Co., Ltd.
Beijing industry university
China Telecom Corporation Limited
Hefei Alina Environmental Technology Co., Ltd.
Dainippon Printing Co., Ltd.
Wuhan Huaxing Optoelectronics Semiconductor Display Technology Co., Ltd.
Guangxi Yulong New Material Co., Ltd.
China Railway Eryuan Engineering Group Co., Ltd.
Jiangsu Hengli Chemical Fiber Co., Ltd.
Thai Chain (Xiamen) Technology Co., Ltd.
China Mobile Communications Group Hunan Co., Ltd.
SMIC New Technology Development (Shanghai) Co., Ltd.
CRRC Changjiang Vehicle Co., Ltd.
Guangzhou Mechanical Science Research Institute Co., Ltd.
Suzhou Dongtinghe Intelligent Technology Development Co., Ltd.
Xidian University
He Hai University
The Second Affiliated Hospital of Guiyang College of Traditional Chinese Medicine
Tianjin University
kehui limited partnership
Qualcomm Incorporated
Xiamen Keaisi Plastic Technology Co., Ltd.
Shanghai Tengcheng Machinery Technology Co., Ltd.
cobar co., ltd.
NetEase (Hangzhou) Network Co., Ltd.
Kunshan Guoxian Optoelectronics Co., Ltd.
Beijing Technology and Business University
Beijing Yijin New Energy Technology Co., Ltd.
Jiangsu Shagang Group Co., Ltd.
Li Qingyong
Qi Anxin Technology Group Co., Ltd.
Sony Corporation
Qualcomm Incorporated
Shenyang Meixing Technology Co., Ltd.
taiwan integrated circuit manufacturing co., ltd.
Beijing Qiyi Century Technology Co., Ltd.
Anhui Zhouji Instrument Technology Co., Ltd.
Zhejiang Jimaike Microelectronics Co., Ltd.
Guangzhou Chaoqun Industrial Co., Ltd.
Jiangxi Zhongzao Biotechnology Co., Ltd.
Zhejiang Supor Home Appliance Manufacturing Co., Ltd.
Eco-Environmental Research Center, Chinese Academy of Sciences
Longzhuangrun Group Co., Ltd.
Zhejiang Otto Electric Co., Ltd.
China Electric Power Research Institute Co., Ltd.
Zhuji Yilian Zhongchuang Enterprise Management Service Co., Ltd.
Dalian Institute of Chemical Physics, Chinese Academy of Sciences
HPE Development LLP
Shaanxi Sirui New Materials Co., Ltd.
Tianjin University
Shanghai Xinshida Robot Co., Ltd.
Changzhou University
Hunan Huanuo Technology Co., Ltd.
Zhejiang Yunda Wind Power Co., Ltd.
Hechi College
Huazhong University of Science and Technology
Apple
CGN Juner New Materials Co., Ltd.
Huangshan Longyue Copper Industry Co., Ltd.
China Mobile Communications Corporation
Central Queensland Mining Supply Pty Ltd
Huawei Technologies Co., Ltd
AUO Optoelectronics Co., Ltd.
Sun Yat-Sen University
Sichuan Jiayi Co., Ltd.
Anhui Xingqianli Intellectual Property Service Co., Ltd.
Tsinghua University
Beijing Quanlu Communication Signal Research and Design Institute Group Co., Ltd.
Taishan Medical College
Guangdong Penfolds Castle Intelligent Appliance Engineering Technology Research Center Co., Ltd.
Nan'an Laikang Machinery Technology Co., Ltd.
Shantou University
Datang Mobile Communication Equipment Co., Ltd.
Xi'an Fuyan Mobile Energy Co., Ltd.
Baoshan Iron and Steel Co., Ltd.
Nanjing Weicai New Energy Technology Co., Ltd.
Shenzhi Elevator Co., Ltd.
Ma Tongjin
Jiangsu Hengli Chemical Fiber Co., Ltd.
China Agricultural University
Xinhua Three Data Technology Co., Ltd.
The 618th Research Institute of China Aviation Industry
Chengdu TD Tech Co., Ltd.
Tencent Technology (Shenzhen) Co., Ltd.
Zhuzhou CRRC Times Electric Co., Ltd.
North China Electric Power University (Baoding)
Denso Co., Ltd.
Chengdu Zhongke Huali Machinery Co., Ltd.
Chengdu Xijia Spruce Technology Co., Ltd.
Beijing University of Chemical Technology
Wuhan Neptune Technology Co., Ltd.
Yangxin Chuangdi Intelligent Technology Co., Ltd.
Anhui Hengtong Traffic Engineering Co., Ltd.
Shin-Etsu Chemical Industry Co., Ltd.
Shanghai Jiaotong University
Maanshan Iron and Steel Co., Ltd.
BASF Europe
FAW Jiefang Automobile Co., Ltd.
Shanghai Electric Institute
Nanjing Zhongfu Information Technology Co., Ltd.
Wuhan Polytechnic Optical Co., Ltd.
Institute of Metal Research, Chinese Academy of Sciences
Anhui Sichuang Electronics Co., Ltd.
Shandong Inspur Huaguang Optoelectronics Co., Ltd.
Shengzhou Tubai Power Generation Technology Co., Ltd.
Hunan Hengkai Environmental Protection Technology Investment Co., Ltd.
Infineon Technologies AG
Jiangsu Lijing Industrial Technology Co., Ltd.
Shan Dong University
China Aviation Control System Research Institute
Changsha Pengyang Information Technology Co., Ltd.
Shenzhen Shadi Technology Co., Ltd.
South China University of Technology
borillis ag
Shenzhen Wanplus Technology Co., Ltd.
BOE Technology Group Co., Ltd.
Hangzhou Houbo Technology Co., Ltd.
China Railway Tunnel Bureau Group Road and Bridge Engineering Co., Ltd.
Fuyang Chuangqi Arts & Crafts Co., Ltd.
Xiamen University
Lanbo Vocational Training School (Tongxiang) Co., Ltd.
Hangzhou University of Electronic Science and Technology
LG Electronics Co., Ltd.
Siemens AG
Lin Wanshu
Suzhou Hunter Environmental Protection Equipment Co., Ltd.
Institute of Automation, Chinese Academy of Sciences
Nanjing Zhenshi Intelligent Technology Co., Ltd.
China Civil Aviation University
Jilin University
People's Hospital Affiliated to Fujian University of Traditional Chinese Medicine (Fujian People's Hospital)
Beijing Global Zhongke Water Technology Co., Ltd.
Qinghai University
LG Chem Co. , Ltd.
Liaoning University of Traditional Chinese Medicine
Shenzhen Yanshang Technology Co., Ltd.
Beijing Huawei Digital Technology Co., Ltd.
Murata Manufacturing Co., Ltd.
China Mobile Communications Corporation
Shanghai Microsatellite Engineering Center
Tencent Technology (Shenzhen) Co., Ltd.
Wuxi Autoway Technology Co., Ltd.
Feng Wenwen
Northeast Agricultural University
Jiangsu Hongyu Vehicle Industry Co., Ltd.
Shenzhen Yingjixin Technology Co., Ltd.
Pei Hanhua
Huawei Technologies Co., Ltd
Zhang Zhongfu
Gu Rongming
Zhejiang Academy of Forestry Sciences
State Grid Shandong Electric Power Company Dezhou Power Supply Company
Micron Technology
Nanjing Yangtze River Urban Architectural Design Co., Ltd.
Wang Jian
Vivo Mobile Communication Co., Ltd.
Hebei Quzhai Kuangfeng Cement Co., Ltd.
Wuhan Huaxing Optoelectronics Technology Co., Ltd.
Jinan Traditional Chinese Medicine Hospital
Suzhou Lingxiao Intelligent Fire Protection Co., Ltd.
Wuhan Jinhe Grain Machinery Co., Ltd.
Beihang University
Shenzhen Ewan Technology Co., Ltd.
Xi'an University of Architecture and Technology
Sun Peng
OPPO Guangdong Mobile Communication Co., Ltd.
Nanjing Zhongke Jingshang Communication Technology Co., Ltd.
Northeastern University
Schooling Group Co., Ltd.
Guangzhou Huarui Photoelectric Materials Co., Ltd.
Suzhou Quanwei Electronic Technology Co., Ltd.
Foshan Guoxing Semiconductor Technology Co., Ltd.
Shenzhen Western Australia Industrial Co., Ltd.
Kunshan Guoxian Optoelectronics Co., Ltd.
Huawei Technologies Co., Ltd
Chongqing Tieyuan Fastener Manufacturing Co., Ltd.
Jiangnan University
Hu Liuman
Qingdao Dajin Chuangzhan Machinery Technology Co., Ltd.
OPPO Guangdong Mobile Communication Co., Ltd.
Sharp Corporation
Ritu Surface Treatment Chemical Co., Ltd.
Tangshan Delong Iron and Steel Co., Ltd.
Kaneka Co., Ltd.
Shanghai Zhongxun Technology Co., Ltd.
Zhejiang Institute of Water Conservancy and Hydropower
University of Shanghai for Science and Technology
Toyo Tire Co., Ltd.
Dongguan Juhuixin Hardware Machinery Co., Ltd.
Tianjin Jinhang Institute of Computing Technology
Huizhou Hongxingwei Metal Manufacturing Co., Ltd.
Guangdong Power Grid Co., Ltd. Jiangmen Power Supply Bureau
State Grid Jiangsu Electric Power Co., Ltd. Electric Power Research Institute
Baoji College of Arts and Sciences
Beijing Academy of Agriculture and Forestry
New H3C Technology Co., Ltd.
Wuhan Botanical Garden, Chinese Academy of Sciences
